Ward_no,Row Labels,Total crime,Non_Arrest,Arrest,Latitude,Longitude,Icon,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,PROSTITUTION,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
14,Albany Park,194,161,33,41.95431,-87.72127,121,,13,30,31,,24,2,7,,1,,,,13,7,,3,5,2,2,13,,,39,2
34,Armour Square,314,262,52,41.81254,-87.63235,121,,21,66,19,6,60,6,16,2,1,,,,13,10,,4,20,,1,7,1,,55,6
25,Austin,229,187,42,41.88665,-87.78705,121,,14,33,10,1,33,,21,,,,,,16,9,,1,20,,1,27,,,42,1
45,Avalon Park,151,129,22,41.7414,-87.55461,121,1,10,20,12,1,27,5,14,,,,1,,4,3,,1,9,,,5,1,1,35,1
21,Avondale,421,320,101,41.95431,-87.72127,121,,27,82,30,1,53,11,19,2,2,,,,21,21,,2,18,,1,19,,,108,4
19,Belmont Cragin,87,73,14,41.95341,-87.76405,121,,7,11,4,,10,3,8,,,,1,,5,2,,1,5,,2,3,,,25,
47,Burnside,121,103,18,41.72875,-87.59954,121,,7,9,8,1,16,2,12,,1,2,,,9,1,,2,9,,2,4,,,36,
48,Calumet Heights,128,94,34,41.7414,-87.55461,121,,11,25,8,1,9,7,6,,1,,,1,9,5,,,7,,,8,,,28,2
44,Chatham,234,206,28,41.72875,-87.59954,121,,7,29,23,,29,3,25,,,,,3,12,2,,,7,,1,8,2,,82,1
35,Douglas,124,112,12,41.81107,-87.61681,121,,8,15,10,1,16,1,5,,,1,,,9,3,1,2,4,,,2,1,,45,
17,Dunning,433,323,110,41.95341,-87.76405,121,3,35,96,25,1,46,10,14,1,3,,,1,20,32,1,5,29,1,6,22,2,,72,8
27,East Garfield Park,504,378,126,41.90081,-87.71465,121,1,25,80,23,5,54,4,21,,1,,,,16,80,,3,17,,4,27,,,137,6
9,Edison Park,294,232,62,42.00806,-87.81177,121,,24,54,36,1,37,6,15,,1,1,1,,10,14,,7,15,1,3,14,,,48,6
12,Forest Glen,184,148,36,41.98988,-87.7583,121,2,13,38,11,,15,1,6,1,1,,,,6,12,,5,13,4,,13,,1,38,4
37,Fuller Park,328,254,74,41.81254,-87.63235,121,,18,78,14,1,37,5,20,4,,,,,14,28,,5,29,,1,22,1,,48,3
38,Grand Boulevard,178,153,25,41.81107,-87.61681,121,,5,27,26,,39,1,15,,1,,,,5,5,1,1,13,,,7,1,,31,
20,Hermosa,428,348,80,41.92619,-87.73209,121,,30,107,34,1,45,6,23,4,1,,,,15,24,,3,29,3,4,27,1,,65,6
23,Humboldt park,162,138,24,41.92619,-87.73209,121,,8,16,17,1,27,,13,,,,,,8,5,,1,9,,2,9,,,46,
41,Hyde Park,166,148,18,41.79317,-87.59152,121,,6,21,10,1,20,5,17,,,,,,3,3,2,,13,,5,1,2,,57,
16,Irving Park,315,249,66,41.98988,-87.7583,121,,23,85,18,2,28,9,20,1,1,,,,14,23,,3,32,1,2,12,3,,37,1
11,Jefferson Park,175,146,29,41.98134,-87.75545,121,,12,29,11,1,28,4,16,,,,,,8,7,,1,12,,1,16,1,,27,1
39,Kenwood,176,157,19,41.81107,-87.61681,121,,11,20,25,1,28,5,11,1,,,,,11,4,,,10,1,,9,1,1,37,
6,Lake View,495,407,88,41.94708,-87.65218,121,,36,112,43,3,71,7,19,3,,,1,,19,10,,4,27,,5,34,3,,94,4
7,Lincoln Park,343,270,73,41.94708,-87.65218,121,1,42,60,47,1,39,6,12,,3,,,,13,13,,2,25,2,3,18,1,,54,1
4,Lincoln Square,241,205,36,41.98744,-87.66111,121,,17,30,14,3,31,8,13,,,,,,6,5,,3,22,,,11,2,1,74,1
